theta,recall,precision,far,f1,dist_to_ideal
0.2815,0.691,0.8204,0.0408,0.7502,0.3116819532793005
0.2848,0.691,0.8226,0.0403,0.7511,0.31161689620429767
0.2881,0.6903,0.8245,0.0397,0.7515,0.3122341749392593
0.2914,0.6889,0.8271,0.0389,0.7517,0.31352259886649325
0.2947,0.6874,0.829,0.0383,0.7516,0.31493753348878567
0.298,0.6874,0.8304,0.0379,0.7522,0.31488913922204426
0.3014,0.686,0.8323,0.0373,0.7521,0.3162076691037078
0.3047,0.6845,0.8372,0.036,0.7532,0.31754724058004347
0.308,0.6838,0.84,0.0352,0.7539,0.31815323352120756
0.3113,0.6823,0.8442,0.034,0.7547,0.3195141467916562
0.3146,0.6816,0.8441,0.034,0.7542,0.32021018097493403
0.3179,0.6802,0.8446,0.0338,0.7535,0.3215812183570427
0.3212,0.6802,0.8453,0.0336,0.7538,0.32156025873854494
0.3245,0.6802,0.8461,0.0334,0.7541,0.3215394221553556
0.3278,0.6802,0.8484,0.0328,0.755,0.3214776508561676
0.3311,0.6787,0.8481,0.0328,0.754,0.32296985927482463
0.3345,0.678,0.851,0.032,0.7547,0.3235861554516818
0.3378,0.6766,0.8515,0.0318,0.754,0.32495968980782836
0.3411,0.6722,0.8531,0.0313,0.7519,0.32929095037671474
0.3444,0.6722,0.8554,0.0307,0.7528,0.32923446052927086
0.3477,0.6708,0.8575,0.0301,0.7527,0.33057321428089126
0.351,0.67,0.8574,0.0301,0.7522,0.3313698990554211
0.3543,0.6671,0.8569,0.0301,0.7502,0.33425801411484507
0.3576,0.6657,0.8566,0.0301,0.7492,0.3356523499098435
0.3609,0.665,0.8589,0.0295,0.7496,0.33629637226708226
0.3643,0.6643,0.862,0.0287,0.7503,0.33692459096955213
0.3676,0.6592,0.8611,0.0287,0.7467,0.34200633035076994
0.3709,0.6563,0.8605,0.0287,0.7447,0.34489618727959287
0.3742,0.6548,0.8611,0.0285,0.7439,0.34637449386466085
0.3775,0.6534,0.8633,0.0279,0.7438,0.3477211095116315
0.3808,0.652,0.8639,0.0277,0.7431,0.34910068748141987
0.3841,0.6498,0.866,0.0272,0.7425,0.35125472238818367
0.3874,0.6476,0.8656,0.0272,0.7409,0.35344815744320984
0.3907,0.6462,0.867,0.0268,0.7405,0.3548135848583028
0.3941,0.6454,0.8685,0.0264,0.7406,0.35558138308972254
0.3974,0.644,0.8683,0.0264,0.7395,0.3569775343071325
0.4007,0.6433,0.8699,0.026,0.7396,0.35764631970705363
0.404,0.6418,0.8696,0.026,0.7386,0.35914236731413346
0.4073,0.6404,0.8719,0.0254,0.7384,0.3604959361768174
0.4106,0.6404,0.8771,0.0242,0.7403,0.36041337378071864
0.4139,0.6404,0.878,0.024,0.7406,0.3604
0.4172,0.6397,0.8805,0.0234,0.741,0.36105906718984354
0.4205,0.6397,0.8814,0.0233,0.7413,0.361052600046032
0.4239,0.6389,0.8821,0.0231,0.7411,0.36183811297319135
0.4272,0.6389,0.8839,0.0227,0.7417,0.3618127968991699
0.4305,0.6382,0.8864,0.0221,0.7421,0.3624743439196766
0.4338,0.6375,0.8881,0.0217,0.7422,0.36314892261990817
0.4371,0.6375,0.8908,0.0211,0.7431,0.36311356350321045
0.4404,0.636,0.8924,0.0207,0.7427,0.364588110063946
0.4437,0.6346,0.8922,0.0207,0.7416,0.36598586038261094
0.447,0.6339,0.8939,0.0203,0.7417,0.3666623787628068
0.4503,0.6302,0.8933,0.0203,0.7391,0.3703567604351243
0.4536,0.6295,0.8932,0.0203,0.7385,0.371055710102944
0.457,0.6295,0.8932,0.0203,0.7385,0.371055710102944
0.4603,0.6281,0.8939,0.0201,0.7378,0.37244277412778465
0.4636,0.6266,0.8946,0.0199,0.737,0.3739298998475516
0.4669,0.6252,0.8953,0.0197,0.7363,0.3753173723663748
0.4702,0.623,0.895,0.0197,0.7346,0.3775143573428698
0.4735,0.623,0.8959,0.0195,0.735,0.3775039734890217
0.4768,0.6216,0.8967,0.0193,0.7342,0.37889187111892486
0.4801,0.6201,0.8974,0.0191,0.7334,0.38037983647927504
0.4834,0.6201,0.8993,0.0188,0.734,0.3803648905984883
0.4868,0.6201,0.9012,0.0184,0.7347,0.3803453299305777
0.4901,0.6194,0.9011,0.0184,0.7341,0.38104451183555976
0.4934,0.6179,0.9018,0.0182,0.7334,0.38253320117344064
0.4967,0.6179,0.9037,0.0178,0.734,0.3825143788147055
0.5,0.6158,0.9044,0.0176,0.7327,0.3846029121054597
0.5033,0.6151,0.9062,0.0172,0.7328,0.3852841159456227
0.5066,0.6129,0.9088,0.0166,0.7321,0.38745576521714065
0.5099,0.6122,0.9107,0.0162,0.7322,0.3881382228021353
0.5132,0.6107,0.9105,0.0162,0.7311,0.389636920735189
0.5166,0.6093,0.9113,0.016,0.7303,0.3910274798527592
0.5199,0.6064,0.9109,0.016,0.7281,0.39392506901693874
0.5232,0.6064,0.9138,0.0154,0.729,0.3939011551138178
0.5265,0.6027,0.9154,0.015,0.7269,0.39758306050434294
0.5298,0.6006,0.9161,0.0148,0.7255,0.39967411725054197
0.5331,0.5999,0.917,0.0147,0.7253,0.4003699539176236
0.5364,0.5984,0.9179,0.0145,0.7245,0.40186168018361734
0.5397,0.5948,0.9174,0.0145,0.7217,0.40545935677944345
0.543,0.5933,0.9183,0.0143,0.7209,0.4069513238705582
0.5464,0.5912,0.918,0.0143,0.7192,0.40905003361447123
0.5497,0.5897,0.9178,0.0143,0.7181,0.4105491200818728
0.553,0.589,0.9187,0.0141,0.7178,0.4112417901916098
0.5563,0.5861,0.9194,0.0139,0.7159,0.4141333360163126
0.5596,0.5839,0.9191,0.0139,0.7142,0.4163321030139281
0.5629,0.5803,0.9229,0.0131,0.7126,0.41990439388032125
0.5662,0.5789,0.9249,0.0127,0.7121,0.42129146680178564
0.5695,0.5767,0.9246,0.0127,0.7103,0.42349047214783947
0.5728,0.5731,0.9242,0.0127,0.7075,0.42708886663082185
0.5761,0.5695,0.9248,0.0125,0.7049,0.4306814367952257
0.5795,0.5651,0.9254,0.0123,0.7017,0.43507390176842364
0.5828,0.5615,0.9282,0.0117,0.6997,0.43865606116865635
0.5861,0.5593,0.9302,0.0113,0.6986,0.44084484799076423
0.5894,0.5557,0.932,0.0109,0.6963,0.444433684591976
0.5927,0.5514,0.935,0.0104,0.6937,0.4487205366372259
0.596,0.5492,0.9359,0.0102,0.6922,0.4509153800881048
0.5993,0.5441,0.9377,0.0098,0.6886,0.45600531795144666
0.6026,0.5398,0.9372,0.0098,0.685,0.4603043341095107
0.6059,0.5398,0.9372,0.0098,0.685,0.4603043341095107
0.6093,0.5362,0.938,0.0096,0.6823,0.4638993425302519
0.6126,0.5326,0.9388,0.0094,0.6796,0.46749451333678776
0.6159,0.5304,0.9409,0.009,0.6784,0.4696862356935745
0.6192,0.5297,0.9409,0.009,0.6778,0.470386107362877
0.6225,0.5289,0.9408,0.009,0.6772,0.47118596116607714
0.6258,0.5282,0.9419,0.0088,0.6769,0.4718820615365666
0.6291,0.5275,0.9431,0.0086,0.6766,0.47257825806949694
0.6324,0.526,0.9466,0.008,0.6763,0.47406750574153467
0.6357,0.5224,0.9463,0.008,0.6732,0.47766699697592674
0.6391,0.5181,0.9471,0.0078,0.6698,0.4819631209957874
0.6424,0.5159,0.9469,0.0078,0.6679,0.4841628341787502
0.6457,0.5152,0.9468,0.0078,0.6673,0.4848627434645809
0.649,0.5152,0.9468,0.0078,0.6673,0.4848627434645809
0.6523,0.5145,0.948,0.0076,0.667,0.48555948142323413
0.6556,0.5123,0.9503,0.0072,0.6657,0.4877531445311245
0.6589,0.5109,0.9502,0.0072,0.6645,0.48915299242670485
0.6622,0.5109,0.9528,0.0068,0.6651,0.48914726821275406
0.6655,0.508,0.9525,0.0068,0.6626,0.4920469896259909
0.6689,0.5072,0.955,0.0064,0.6626,0.4928415566893685
0.6722,0.5058,0.9562,0.0063,0.6616,0.4942401541760847
0.6755,0.5022,0.9572,0.0061,0.6588,0.49783737304465203
0.6788,0.4986,0.9596,0.0057,0.6562,0.5014323982352956
0.6821,0.4957,0.9607,0.0055,0.6539,0.5043299911764122
0.6854,0.4949,0.9607,0.0055,0.6533,0.505129943677862
0.6887,0.4935,0.9606,0.0055,0.652,0.5065298609164123
0.692,0.492,0.9605,0.0055,0.6507,0.5080297727495899
0.6953,0.4906,0.9603,0.0055,0.6494,0.5094296909289839
0.6986,0.4884,0.9602,0.0055,0.6475,0.5116295632584185
0.702,0.4884,0.9643,0.0049,0.6484,0.511623465059999
0.7053,0.4863,0.9641,0.0049,0.6465,0.5137233691394621
0.7086,0.4855,0.9655,0.0047,0.6461,0.514521466996276
0.7119,0.4855,0.9669,0.0045,0.6464,0.5145196789239456
0.7152,0.4834,0.9681,0.0043,0.6448,0.51661789554757
0.7185,0.4826,0.9695,0.0041,0.6444,0.5174162444299562
0.7218,0.4805,0.9693,0.0041,0.6425,0.5195161787663596
0.7251,0.4783,0.9692,0.0041,0.6405,0.521716110542889
0.7284,0.4776,0.9706,0.0039,0.6402,0.5224145576072703
0.7318,0.4768,0.972,0.0037,0.6398,0.5232130827875007
0.7351,0.4747,0.9719,0.0037,0.6378,0.525313030487537
0.7384,0.4725,0.9717,0.0037,0.6358,0.5275129761437154
0.7417,0.4725,0.9717,0.0037,0.6358,0.5275129761437154
0.745,0.4725,0.9717,0.0037,0.6358,0.5275129761437154
0.7483,0.4718,0.9717,0.0037,0.6352,0.5282129589474306
0.7516,0.4696,0.973,0.0035,0.6335,0.5304115477626783
0.7549,0.4689,0.9744,0.0033,0.6331,0.5311102522075807
0.7582,0.4667,0.9743,0.0033,0.6311,0.5333102099153925
0.7616,0.4653,0.9742,0.0033,0.6298,0.5347101831833764
0.7649,0.4645,0.9757,0.0031,0.6294,0.5355089728473277
0.7682,0.4624,0.9756,0.0031,0.6274,0.5376089377977268
0.7715,0.4616,0.9755,0.0031,0.6267,0.5384089245174155
0.7748,0.4602,0.9755,0.0031,0.6254,0.5398089013715873
0.7781,0.4595,0.9754,0.0031,0.6247,0.5405088898436361
0.7814,0.4588,0.9754,0.0031,0.624,0.5412088783455054
0.7847,0.4573,0.9768,0.0029,0.623,0.5427077482402476
0.788,0.4559,0.9783,0.0027,0.6219,0.5441066990949478
0.7914,0.4551,0.9798,0.0025,0.6215,0.5449057349670674
0.7947,0.4522,0.9796,0.0025,0.6188,0.5478057046070258
0.798,0.4515,0.9796,0.0025,0.6181,0.5485056973268372
0.8013,0.4501,0.9795,0.0025,0.6168,0.5499056828220636
0.8046,0.4501,0.9795,0.0025,0.6168,0.5499056828220636
0.8079,0.4486,0.9795,0.0025,0.6154,0.5514056673629679
