,OOF_sequences,prevalence,ROC_AUC,PR_AUC,Brier,theta_star,Recall,Precision,FAR,F1,TP_FN_FP_TN
ProtocolB_primary,5190,0.249,0.8946,0.8407,0.0888,0.2458,0.7975,0.7467,0.0898,0.7713,1032/262/350/3546
ProtocolA_full,6500,0.213,0.8712,0.8063,0.0791,0.1856,0.7489,0.6261,0.1208,0.682,1035/347/618/4500
